"Component","Version","Latest version","CVE","Matching type","CVSS","CVE publication date","Object compilation date","Object","Object full path","Object SHA1","CVSS3","CVSS vector (v2)","CVSS vector (v3)","Distribution package","Distribution package name","CVSS (Distribution)","CVSS3 (Distribution)","Triage vectors","Unresolving triage vectors","Note type","Note reason","Vulnerability URL","Missing exploit mitigations","BDSA","Version override type","Exploit availability date","Fix date","Worker version","Frontend version","CVE database version","BDSA database version","Component database version","Vulnerabilities updated","Native fingerprint version","Code similarity fingerprint version","Java fingerprint version","Maven fingerprint version","Dotnet fingerprint version","Cocoapods fingerprint version","Golang fingerprint version","Python fingerprint version","Distro-packages fingerprint version"
"JRuby","1.0","","CVE-2012-5370","Historical match","5.0","2012-11-28T13:03:10Z","2025-02-11T09:06:12Z","jruby.exe","webgoat-2025.3.jar:_webgoat-2025.3.jar:BOOT-INF/lib/jruby-stdlib-9.4.12.0.jar:META-INF/jruby.home/bin/jruby.exe","f77fcf2f1d1f68e89c2e1030f180c16247e483ce","5.0","AV:N/AC:L/Au:N:/C:N/I:N/A:P","","pe32-fileinfo","JRuby","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2012-5370","no-authenticode-signature, no-buffer-security-check, no-aslr, no-data-execution-prevention, no-control-flow-guard, no-enforced-code-integrity, no-control-flow-enforcement, no-safeseh","","","","","2025.6.3","2025.6.3","2025-08-21T23:15:30","2025-08-21T17:45:04","2025-08-22T00:23:26","2025-08-22T04:29:45","2025-06-13T12:30:12.704353+00:00","","2025-05-20T10:16:07.123631+00:00","2025-06-11T02:03:42.979555","","2025-08-18T06:00:04.705636","","",""
"JRuby","1.0","","CVE-2012-5370","Historical match","5.0","2012-11-28T13:03:10Z","2025-02-11T09:06:12Z","jrubyw.exe","webgoat-2025.3.jar:_webgoat-2025.3.jar:BOOT-INF/lib/jruby-stdlib-9.4.12.0.jar:META-INF/jruby.home/bin/jrubyw.exe","cd64083be92749aba74e568ddc619b905833d193","5.0","AV:N/AC:L/Au:N:/C:N/I:N/A:P","","pe32-fileinfo","JRuby","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2012-5370","no-authenticode-signature, no-buffer-security-check, no-aslr, no-data-execution-prevention, no-control-flow-guard, no-enforced-code-integrity, no-control-flow-enforcement, no-safeseh","","","","","2025.6.3","2025.6.3","2025-08-21T23:15:30","2025-08-21T17:45:04","2025-08-22T00:23:26","2025-08-22T04:29:45","2025-06-13T12:30:12.704353+00:00","","2025-05-20T10:16:07.123631+00:00","2025-06-11T02:03:42.979555","","2025-08-18T06:00:04.705636","","",""
"JRuby","1.0","","CVE-2011-4838","Exact match","5.0","2011-12-30T01:55:01Z","2025-02-11T09:06:12Z","jruby.exe","webgoat-2025.3.jar:_webgoat-2025.3.jar:BOOT-INF/lib/jruby-stdlib-9.4.12.0.jar:META-INF/jruby.home/bin/jruby.exe","f77fcf2f1d1f68e89c2e1030f180c16247e483ce","5.0","AV:N/AC:L/Au:N:/C:N/I:N/A:P","","pe32-fileinfo","JRuby","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2011-4838","no-authenticode-signature, no-buffer-security-check, no-aslr, no-data-execution-prevention, no-control-flow-guard, no-enforced-code-integrity, no-control-flow-enforcement, no-safeseh","","","","","2025.6.3","2025.6.3","2025-08-21T23:15:30","2025-08-21T17:45:04","2025-08-22T00:23:26","2025-08-22T04:29:45","2025-06-13T12:30:12.704353+00:00","","2025-05-20T10:16:07.123631+00:00","2025-06-11T02:03:42.979555","","2025-08-18T06:00:04.705636","","",""
"JRuby","1.0","","CVE-2011-4838","Exact match","5.0","2011-12-30T01:55:01Z","2025-02-11T09:06:12Z","jrubyw.exe","webgoat-2025.3.jar:_webgoat-2025.3.jar:BOOT-INF/lib/jruby-stdlib-9.4.12.0.jar:META-INF/jruby.home/bin/jrubyw.exe","cd64083be92749aba74e568ddc619b905833d193","5.0","AV:N/AC:L/Au:N:/C:N/I:N/A:P","","pe32-fileinfo","JRuby","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2011-4838","no-authenticode-signature, no-buffer-security-check, no-aslr, no-data-execution-prevention, no-control-flow-guard, no-enforced-code-integrity, no-control-flow-enforcement, no-safeseh","","","","","2025.6.3","2025.6.3","2025-08-21T23:15:30","2025-08-21T17:45:04","2025-08-22T00:23:26","2025-08-22T04:29:45","2025-06-13T12:30:12.704353+00:00","","2025-05-20T10:16:07.123631+00:00","2025-06-11T02:03:42.979555","","2025-08-18T06:00:04.705636","","",""
"JRuby","1.0","","CVE-2010-1330","Exact match","4.3","2012-11-23T19:55:01Z","2025-02-11T09:06:12Z","jruby.exe","webgoat-2025.3.jar:_webgoat-2025.3.jar:BOOT-INF/lib/jruby-stdlib-9.4.12.0.jar:META-INF/jruby.home/bin/jruby.exe","f77fcf2f1d1f68e89c2e1030f180c16247e483ce","4.3","AV:N/AC:M/Au:N:/C:N/I:P/A:N","","pe32-fileinfo","JRuby","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2010-1330","no-authenticode-signature, no-buffer-security-check, no-aslr, no-data-execution-prevention, no-control-flow-guard, no-enforced-code-integrity, no-control-flow-enforcement, no-safeseh","","","","","2025.6.3","2025.6.3","2025-08-21T23:15:30","2025-08-21T17:45:04","2025-08-22T00:23:26","2025-08-22T04:29:45","2025-06-13T12:30:12.704353+00:00","","2025-05-20T10:16:07.123631+00:00","2025-06-11T02:03:42.979555","","2025-08-18T06:00:04.705636","","",""
"JRuby","1.0","","CVE-2010-1330","Exact match","4.3","2012-11-23T19:55:01Z","2025-02-11T09:06:12Z","jrubyw.exe","webgoat-2025.3.jar:_webgoat-2025.3.jar:BOOT-INF/lib/jruby-stdlib-9.4.12.0.jar:META-INF/jruby.home/bin/jrubyw.exe","cd64083be92749aba74e568ddc619b905833d193","4.3","AV:N/AC:M/Au:N:/C:N/I:P/A:N","","pe32-fileinfo","JRuby","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2010-1330","no-authenticode-signature, no-buffer-security-check, no-aslr, no-data-execution-prevention, no-control-flow-guard, no-enforced-code-integrity, no-control-flow-enforcement, no-safeseh","","","","","2025.6.3","2025.6.3","2025-08-21T23:15:30","2025-08-21T17:45:04","2025-08-22T00:23:26","2025-08-22T04:29:45","2025-06-13T12:30:12.704353+00:00","","2025-05-20T10:16:07.123631+00:00","2025-06-11T02:03:42.979555","","2025-08-18T06:00:04.705636","","",""
"JRuby","1.0","","CVE-2025-46551","Historical match","0.0","2025-05-08T16:52:28Z","2025-02-11T09:06:12Z","jruby.exe","webgoat-2025.3.jar:_webgoat-2025.3.jar:BOOT-INF/lib/jruby-stdlib-9.4.12.0.jar:META-INF/jruby.home/bin/jruby.exe","f77fcf2f1d1f68e89c2e1030f180c16247e483ce","6.7","","AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N/E:P/RL:O/RC:C","pe32-fileinfo","JRuby","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2025-46551","no-authenticode-signature, no-buffer-security-check, no-aslr, no-data-execution-prevention, no-control-flow-guard, no-enforced-code-integrity, no-control-flow-enforcement, no-safeseh","BDSA-2025-3923","","2025-05-07","2025-05-07","2025.6.3","2025.6.3","2025-08-21T23:15:30","2025-08-21T17:45:04","2025-08-22T00:23:26","2025-08-22T04:29:45","2025-06-13T12:30:12.704353+00:00","","2025-05-20T10:16:07.123631+00:00","2025-06-11T02:03:42.979555","","2025-08-18T06:00:04.705636","","",""
"JRuby","1.0","","CVE-2025-46551","Historical match","0.0","2025-05-08T16:52:28Z","2025-02-11T09:06:12Z","jrubyw.exe","webgoat-2025.3.jar:_webgoat-2025.3.jar:BOOT-INF/lib/jruby-stdlib-9.4.12.0.jar:META-INF/jruby.home/bin/jrubyw.exe","cd64083be92749aba74e568ddc619b905833d193","6.7","","AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N/E:P/RL:O/RC:C","pe32-fileinfo","JRuby","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2025-46551","no-authenticode-signature, no-buffer-security-check, no-aslr, no-data-execution-prevention, no-control-flow-guard, no-enforced-code-integrity, no-control-flow-enforcement, no-safeseh","BDSA-2025-3923","","2025-05-07","2025-05-07","2025.6.3","2025.6.3","2025-08-21T23:15:30","2025-08-21T17:45:04","2025-08-22T00:23:26","2025-08-22T04:29:45","2025-06-13T12:30:12.704353+00:00","","2025-05-20T10:16:07.123631+00:00","2025-06-11T02:03:42.979555","","2025-08-18T06:00:04.705636","","",""
"asciidoctor","2.0.23","2.0.23","CVE-2018-18385","Historical match","5.0","2018-10-16T16:50:12Z","2024-08-25T11:09:08Z","asciidoctor-2.0.23.gemspec","webgoat-2025.3.jar:_webgoat-2025.3.jar:BOOT-INF/lib/asciidoctorj-3.0.0.jar:specifications/asciidoctor-2.0.23.gemspec","7229e48768bd48bf0bac659dc8b358b239a9aec1","7.5","AV:N/AC:L/Au:N:/C:N/I:N/A:P","AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H","gem","","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2018-18385","","","","","","2025.6.3","2025.6.3","2025-08-21T23:15:30","2025-08-21T17:45:04","2025-08-22T00:23:26","2025-08-22T04:29:45","2025-06-13T12:30:12.704353+00:00","","2025-05-20T10:16:07.123631+00:00","2025-06-11T02:03:42.979555","","2025-08-18T06:00:04.705636","","",""
"base64","0.1.1","0.3.0","CVE-2017-1000430","Exact match","7.5","2018-01-02T20:29:00Z","2025-02-11T09:06:12Z","base64-0.1.1.gemspec","webgoat-2025.3.jar:_webgoat-2025.3.jar:BOOT-INF/lib/jruby-stdlib-9.4.12.0.jar:META-INF/jruby.home/lib/ruby/gems/shared/specifications/default/base64-0.1.1.gemspec","1b2d251078bed74439d88a302b60fca016564936","9.8","AV:N/AC:L/Au:N:/C:P/I:P/A:P","AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H","gem","","","","","","","","http://nvd.nist.gov/vuln/detail/CVE-2017-1000430","","","","","","2025.6.3","2025.6.3","2025-08-21T23:15:30","2025-08-21T17:45:04","2025-08-22T00:23:26","2025-08-22T04:29:45","2025-06-13T12:30:12.704353+00:00","","2025-05-20T10:16:07.123631+00:00","2025-06-11T02:03:42.979555","","2025-08-18T06:00:04.705636","","",""
